model,AIC,BIC,logLik,df,delta_AIC,delta_BIC
vel_dur,1428.8753346645742,1453.4132049456844,-710.4376673322871,4,0,2.399781255460539
full,1430.5130437432115,1461.1853815945992,-710.2565218716057,5,1.6377090786372719,10.171957904375404
velocity,1432.610020979391,1451.0134236902238,-713.3050104896955,3,3.734686314816827,0
vel_amp,1433.824411923555,1458.3622822046652,-712.9122059617775,4,4.9490772589808785,7.348858514441417
dur_amp,1445.6558915021694,1470.1937617832796,-718.8279457510847,4,16.780556837595213,19.180338093055752
amplitude,1468.4374726719211,1486.840875382754,-731.2187363359606,3,39.5621380073469,35.827451692530076
duration,1481.0204640539673,1499.4238667648,-737.5102320269837,3,52.145129389393105,48.41044307457628
baseline,1486.2632007014258,1498.532135841981,-741.1316003507129,2,57.38786603685162,47.5187121517572
