variable,comparison,effect_size,ci_lower,ci_upper,interpretation
Velocity,affirmation vs feedback,0.41966329075946296,0,0,small
Velocity,affirmation vs other,0.06516678468033144,0,0,negligible
Velocity,feedback vs other,-0.31172062065398604,0,0,small
Amplitude,affirmation vs feedback,0.328798863072853,0,0,small
Amplitude,affirmation vs other,0.48844460179666394,0,0,small
Amplitude,feedback vs other,0.1084498748928257,0,0,negligible
Duration,affirmation vs feedback,-0.22100787355578272,0,0,small
Duration,affirmation vs other,0.47820401073331636,0,0,small
Duration,feedback vs other,0.6051562866748383,0,0,medium
