model,AIC,BIC,logLik,df,delta_AIC,delta_BIC
vel_dur,1428.8753346645835,1453.4132049456937,-710.4376673322918,4,0,2.3997812554598568
full,1430.5130437431862,1461.185381594574,-710.2565218715931,5,1.637709078602711,10.171957904340161
velocity,1432.610020979401,1451.0134236902338,-713.3050104897005,3,3.734686314817509,0
vel_amp,1433.8244119235392,1458.3622822046493,-712.9122059617696,4,4.94907725895564,7.348858514415497
dur_amp,1445.6558915021685,1470.1937617832787,-718.8279457510843,4,16.78055683758498,19.18033809304484
amplitude,1468.4374726719245,1486.8408753827573,-731.2187363359623,3,39.56213800734099,35.82745169252348
duration,1481.0204640539848,1499.4238667648176,-737.5102320269924,3,52.14512938940129,48.41044307458378
baseline,1486.2632007012398,1498.532135841795,-741.1316003506199,2,57.387866036656305,47.5187121515612
