group,variable,mean,ci_lower,ci_upper,median,sd,variable_label
affirmation,velocity_norm,0.5419254519562519,0.4955780399596218,0.5909700573664474,0.452404230416048,0.34885667705836276,Velocity
feedback,velocity_norm,0.4167265069891449,0.40638397325675807,0.4265587613112895,0.334587944776121,0.29482190745449355,Velocity
other,velocity_norm,0.5185309660646061,0.5054275443695682,0.5315046507879317,0.43637512775583553,0.35972639568080983,Velocity
affirmation,amplitude_norm,0.08365840478804538,0.07467781963842916,0.09204919562804187,0.0678007679671235,0.06516335692516728,Amplitude
feedback,amplitude_norm,0.06406800814931829,0.062076004948616155,0.0661261176947238,0.0429494678497215,0.05920850298416586,Amplitude
other,amplitude_norm,0.05802426803990046,0.056123235840498435,0.05996692215688968,0.04241078416782585,0.0514278787126294,Amplitude
affirmation,duration_norm,1.5034862518491667,1.3675039371818127,1.651304972645738,1.21,1.0182046532186892,Duration
feedback,duration_norm,1.8306677669732834,1.7818313892931072,1.8843702001930678,1.32,1.5050363151609165,Duration
other,duration_norm,1.066859197973766,1.0337972753019056,1.1007837357534467,0.769512768858146,0.9048619616356441,Duration
